0,11.18,190,12
0.1,11.18,189.1059,12
0.2,11.18,188.2118,12
0.3,11.18,187.3177,12
0.4,11.18,186.4236,12
0.5,11.18,185.5295,12
0.6,11.18,184.6354,12
0.7,11.18,183.7413,12
0.8,11.18,182.8472,12
0.9,11.18,181.9531,12
1,11.18,181.059,12
1.1,11.18,180.1649,12
1.2,11.18,179.2708,12
1.3,11.18,178.3767,12
1.4,11.18,177.4826,12
1.5,11.18,176.5885,12
1.6,11.18,175.6944,12
1.7,11.18,174.8003,12
1.8,11.18,173.9062,12
1.9,11.18,173.0121,12
2,11.18,172.118,12
2.1,11.18,171.2239,12
2.2,11.18,170.3298,12
2.3,11.18,169.4357,12
2.4,11.18,168.5416,12
2.5,11.18,167.6475,12
2.6,11.18,166.7534,12
2.7,11.18,165.8593,12
2.8,11.18,164.9652,12
2.9,11.18,164.0711,12
3,11.18,163.177,12
3.1,11.18,162.2829,12
3.2,11.18,161.3888,12
3.3,11.18,160.4947,12
3.4,11.18,159.6006,12
3.5,11.18,158.7065,12
3.6,11.18,157.8124,12
3.7,11.18,156.9183,12
3.8,11.18,156.0242,12
3.9,11.18,155.1301,12
4,11.18,154.236,12
4.1,11.18,153.3419,12
4.2,11.18,152.4478,12
4.3,11.18,151.5537,12
4.4,11.18,150.6596,12
4.5,11.18,149.7655,12
4.6,11.18,148.8714,12
4.7,11.18,147.9773,12
4.8,11.18,147.0832,12
4.9,11.18,146.1891,12
5,11.18,145.295,12
5.1,11.18,144.4009,12
5.2,11.18,143.5068,12
5.3,11.18,142.6127,12
5.4,11.18,141.7186,12
5.5,11.18,140.8245,12
5.6,11.18,139.9304,12
5.7,11.18,139.0363,12
5.8,11.18,138.1422,12
5.9,11.18,137.2481,12
6,11.18,136.354,12
6.1,11.18,135.4599,12
6.2,11.18,134.5658,12
6.3,11.18,133.6717,12
6.4,11.18,132.7776,12
6.5,11.18,131.8835,12
6.6,11.18,130.9894,12
6.7,11.18,130.0953,12
6.8,11.18,129.2012,12
6.9,11.18,128.3071,12
7,11.18,127.413,12
7.1,11.18,126.5189,12
7.2,11.18,125.6248,12
7.3,11.18,124.7307,12
7.4,11.18,123.8366,12
7.5,11.18,122.9425,12
7.6,11.18,122.0484,12
7.7,11.18,121.1543,12
7.8,11.18,120.2602,12
7.9,11.18,119.3661,12
8,8.941,118.472,12
8.1,8.941,117.5779,12
8.2,8.941,116.6838,12
8.3,8.941,115.7897,12
8.4,8.941,114.8956,12
8.5,8.941,114.0015,12
8.6,8.941,113.1074,12
